tripinfo_id;tripinfo_depart;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_departDelay;tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_duration;tripinfo_routeLength;tripinfo_waitingTime;tripinfo_waitingCount;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_rerouteNo;tripinfo_devices;tripinfo_vType;tripinfo_speedFactor;tripinfo_vaporized
wu_as_to_ko.8;248.00;23687583_0;5.10;0.00;3.46;414.00;972103805_0;116.86;11.36;166.00;1102.39;57.00;1;0.00;70.64;0;tripinfo_wu_as_to_ko.8;car;1.05;
wu_as_to_kl.2;293.00;23687583_0;5.10;0.00;0.68;414.00;28716808#1_0;754.74;11.52;121.00;1207.92;0.00;0;0.00;15.23;0;tripinfo_wu_as_to_kl.2;car;1.04;
wu_as_to_ko.9;281.00;23687583_0;5.10;0.00;0.47;415.00;972103805_0;116.86;12.31;134.00;1102.39;28.00;2;0.00;51.31;0;tripinfo_wu_as_to_ko.9;car;1.20;
wu_os_to_od.2;298.00;-45494495_0;5.10;0.00;0.51;415.00;23156030#6_0;109.07;11.85;117.00;865.51;35.00;1;0.00;49.45;0;tripinfo_wu_os_to_od.2;car;1.17;
wu_os_to_br.2;166.00;-45494495_0;5.10;0.00;2.98;417.00;23156390_0;1121.44;10.56;251.00;2513.69;0.00;0;0.00;23.36;0;tripinfo_wu_os_to_br.2;car;1.00;
wu_as_to_ko.10;290.00;23687583_0;5.10;0.00;0.83;421.00;972103805_0;116.86;9.61;131.00;1102.39;0.00;0;0.00;16.79;0;tripinfo_wu_as_to_ko.10;car;0.87;
wu_od_to_os.6;311.00;803785575#0_0;5.10;0.00;5.21;422.00;45494495_0;58.90;8.99;111.00;969.96;0.00;0;0.00;9.95;0;tripinfo_wu_od_to_os.6;car;0.87;
wu_ns_to_gg.1;50.00;-23142338#2_0;5.10;0.00;0.87;423.00;23156305_0;1264.14;9.63;373.00;3297.24;8.00;2;0.00;47.94;0;tripinfo_wu_ns_to_gg.1;car;0.92;
wu_as_to_ko.11;318.00;23687583_0;5.10;0.00;0.22;423.00;972103805_0;116.86;12.92;105.00;1102.39;0.00;0;0.00;21.30;0;tripinfo_wu_as_to_ko.11;car;1.19;
wu_as_to_os.6;245.00;23687583_0;5.10;0.00;0.84;424.00;45494495_0;58.90;9.95;179.00;1689.77;0.00;0;0.00;17.29;0;tripinfo_wu_as_to_os.6;car;0.95;
